Market,state_code,Count_of_Market
 Advertising ,AR,2
 Advertising ,AZ,12
 Advertising ,CA,259
 Advertising ,CO,23
 Advertising ,CT,6
 Advertising ,DC,2
 Advertising ,DE,1
 Advertising ,FL,19
 Advertising ,GA,12
 Advertising ,HI,1
 Advertising ,IA,1
 Advertising ,ID,2
 Advertising ,IL,17
 Advertising ,IN,4
 Advertising ,KY,3
 Advertising ,LA,1
 Advertising ,MA,35
 Advertising ,MD,10
 Advertising ,ME,2
 Advertising ,MI,1
 Advertising ,MN,4
 Advertising ,MO,4
 Advertising ,NC,10
 Advertising ,NE,2
 Advertising ,NH,3
 Advertising ,NJ,6
 Advertising ,NV,6
 Advertising ,NY,162
 Advertising ,OH,5
 Advertising ,OR,2
 Advertising ,PA,8
 Advertising ,RI,1
 Advertising ,SC,2
 Advertising ,TN,4
 Advertising ,TX,23
 Advertising ,UT,11
 Advertising ,VA,8
 Advertising ,VT,4
 Advertising ,WA,18
 Advertising ,WI,1
 Analytics ,AL,1
 Analytics ,AZ,1
 Analytics ,CA,205
 Analytics ,CO,10
 Analytics ,CT,6
 Analytics ,DC,7
 Analytics ,DE,1
 Analytics ,FL,9
 Analytics ,GA,9
 Analytics ,ID,1
 Analytics ,IL,18
 Analytics ,IN,2
 Analytics ,KS,2
 Analytics ,LA,1
 Analytics ,MA,43
 Analytics ,MD,8
 Analytics ,ME,3
 Analytics ,MI,7
 Analytics ,MN,2
 Analytics ,MO,3
 Analytics ,NC,12
 Analytics ,NH,1
 Analytics ,NJ,5
 Analytics ,NV,1
 Analytics ,NY,50
 Analytics ,OH,10
 Analytics ,OR,5
 Analytics ,PA,11
 Analytics ,RI,1
 Analytics ,SC,3
 Analytics ,TN,3
 Analytics ,TX,21
 Analytics ,UT,6
 Analytics ,VA,16
 Analytics ,WA,19
 Analytics ,WI,6
 Biotechnology ,AK,1
 Biotechnology ,AL,31
 Biotechnology ,AR,10
 Biotechnology ,AZ,29
 Biotechnology ,CA,796
 Biotechnology ,CO,61
 Biotechnology ,CT,59
 Biotechnology ,DC,6
 Biotechnology ,DE,8
 Biotechnology ,FL,109
 Biotechnology ,GA,45
 Biotechnology ,HI,6
 Biotechnology ,IA,8
 Biotechnology ,ID,2
 Biotechnology ,IL,49
 Biotechnology ,IN,40
 Biotechnology ,KS,11
 Biotechnology ,KY,24
 Biotechnology ,LA,5
 Biotechnology ,MA,362
 Biotechnology ,MD,99
 Biotechnology ,ME,9
 Biotechnology ,MI,64
 Biotechnology ,MN,60
 Biotechnology ,MO,36
 Biotechnology ,MS,1
 Biotechnology ,MT,6
 Biotechnology ,NC,97
 Biotechnology ,ND,1
 Biotechnology ,NE,4
 Biotechnology ,NH,8
 Biotechnology ,NJ,97
 Biotechnology ,NM,8
 Biotechnology ,NV,12
 Biotechnology ,NY,131
 Biotechnology ,OH,42
 Biotechnology ,OK,9
 Biotechnology ,OR,23
 Biotechnology ,PA,147
 Biotechnology ,RI,17
 Biotechnology ,SC,16
 Biotechnology ,TN,43
 Biotechnology ,TX,127
 Biotechnology ,UT,28
 Biotechnology ,VA,44
 Biotechnology ,WA,98
 Biotechnology ,WI,38
 Biotechnology ,WV,2
 Biotechnology ,WY,1
 Clean Technology ,AR,5
 Clean Technology ,AZ,13
 Clean Technology ,CA,217
 Clean Technology ,CO,28
 Clean Technology ,CT,6
 Clean Technology ,DC,1
 Clean Technology ,DE,4
 Clean Technology ,FL,24
 Clean Technology ,GA,10
 Clean Technology ,HI,5
 Clean Technology ,IA,1
 Clean Technology ,ID,4
 Clean Technology ,IL,15
 Clean Technology ,IN,3
 Clean Technology ,KS,1
 Clean Technology ,KY,3
 Clean Technology ,LA,1
 Clean Technology ,MA,78
 Clean Technology ,MD,17
 Clean Technology ,ME,1
 Clean Technology ,MI,12
 Clean Technology ,MN,6
 Clean Technology ,MO,4
 Clean Technology ,MS,1
 Clean Technology ,MT,6
 Clean Technology ,NC,12
 Clean Technology ,NE,1
 Clean Technology ,NH,9
 Clean Technology ,NJ,17
 Clean Technology ,NM,11
 Clean Technology ,NV,10
 Clean Technology ,NY,38
 Clean Technology ,OH,15
 Clean Technology ,OK,1
 Clean Technology ,OR,13
 Clean Technology ,PA,19
 Clean Technology ,RI,3
 Clean Technology ,SC,3
 Clean Technology ,TN,13
 Clean Technology ,TX,62
 Clean Technology ,UT,13
 Clean Technology ,VA,6
 Clean Technology ,VT,7
 Clean Technology ,WA,24
 Clean Technology ,WI,7
 Clean Technology ,WV,1
 Consulting ,AL,2
 Consulting ,AR,9
 Consulting ,AZ,9
 Consulting ,CA,63
 Consulting ,CO,10
 Consulting ,CT,7
 Consulting ,DC,2
 Consulting ,DE,3
 Consulting ,FL,21
 Consulting ,GA,10
 Consulting ,HI,2
 Consulting ,IA,2
